"CASnummer","Id","Codes","Omschrijving","Groep","Begin.geldigheid","Eind.geldigheid","Status","Gerelateerd","Guid","Exactmatch"
"15545-48-9",1718,"Cloxrn","chlooroxuron1","ChemischeStof","2011-08-27","2011-08-27","Vervallen","","Id-a350e4e7-500f-466e-a125-a3a3d0e37075","http://vocab.nerc.ac.uk/collection/S27/current/CS001222/"
"15584-04-0",5546,"AsO4","arsenaat","ChemischeStof","2016-01-16","2100-01-01","Geldig","","Id-d73f5429-fc1c-4176-b1ae-aba6ff6f9455","http://vocab.nerc.ac.uk/collection/S27/current/CS003056/"
"156-59-2",520,"c12DClC2e","cis-1,2-dichlooretheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-ff6076b9-0e1c-45cb-a52f-6c4be00ea9c6","http://vocab.nerc.ac.uk/collection/S27/current/CS000333/"
"156-60-5",1578,"t12DClC2e","trans-1,2-dichlooretheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3b61b3af-796c-4036-b221-4031635c6869","http://vocab.nerc.ac.uk/collection/S27/current/CS003149/"
"1563-66-2",462,"carbfrn","carbofuran","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-33f996f8-9651-42c3-a779-48422ffe5bd4","http://vocab.nerc.ac.uk/collection/S27/current/CS004073/"
"15687-27-1",2470,"ibpfn","ibuprofen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e6b2b556-e0af-488e-9d1b-3c80213dba93","http://vocab.nerc.ac.uk/collection/S27/current/CS004256/"
"1570-64-5",224,"4Cl2C1yFol","4-chloor-2-methylfenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e372df72-cfb6-48b4-82ab-3e663f0178cb","http://vocab.nerc.ac.uk/collection/S27/current/CS004452/"
"1582-09-8",1612,"Tfrlne","trifluraline","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-2c776fea-84f6-4efe-b30f-536062d340f7","http://vocab.nerc.ac.uk/collection/S27/current/CS001243/"
"15950-66-0",83,"234TClFol","2,3,4-trichloorfenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a4be943a-db94-480d-acf5-a0c3117d008b","http://vocab.nerc.ac.uk/collection/S27/current/CS003884/"
"15972-60-8",264,"alCl","alachloor","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3c82de91-a0d6-4cf2-b63f-3ffb1a0add2c","http://vocab.nerc.ac.uk/collection/S27/current/CS001173/"
"16065-83-1",3510,"CrIII","chroom (driewaardig)","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-468b7a06-d7de-480d-8a54-9ab3c3d104f8","http://vocab.nerc.ac.uk/collection/S27/current/CS003354/"
"16118-49-3",3384,"carbtAd","carbetamide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e930f447-9139-4f39-8e2b-25a170b8f627","http://vocab.nerc.ac.uk/collection/S27/current/CS004242/"
"1622-61-3",3469,"clonzpm","clonazepam","ChemischeStof","2012-11-17","2100-01-01","Geldig","","Id-5515a836-7f81-49e6-8ef0-8bbd56494ab7","http://vocab.nerc.ac.uk/collection/S27/current/CS004054/"
"1634-04-4",1163,"C1yttC4yEtr","methyl-tertiair-butylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-fa6d3c3f-ec88-48a7-9cc2-ae0942b30843","http://vocab.nerc.ac.uk/collection/S27/current/CS003336/"
"163515-14-8",3655,"DmtnmdP","dimethenamid-P","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d0a62808-2c4d-4ec1-8438-b66fd433c3cf","http://vocab.nerc.ac.uk/collection/S27/current/CS003814/"
"16606-02-3",4401,"PCB31","2,4',5-trichloorbifenyl","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-704e0e09-ccc7-4268-bf77-96d991b4e7f3","http://vocab.nerc.ac.uk/collection/S27/current/CS001880/"
"1672-58-8",5982,"4formAoatprn","4-formylaminoantipyrine","ChemischeStof","2018-10-11","2100-01-01","Geldig","","Id-1e0b42fb-6705-4a60-9bc6-74efa9b886fb","http://vocab.nerc.ac.uk/collection/S27/current/CS004399/"
"168316-95-8",4694,"spinsd","spinosad","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-1b4fb54d-2738-4f5f-a76f-835b3cf6267a","http://vocab.nerc.ac.uk/collection/S27/current/CS003970/"
"16887-00-6",508,"Cl","chloride","ChemischeStof","2011-06-08","2100-01-01","Geldig","Id-9dc64994-31a0-4e9d-bf91-e4ea4a323e3b","Id-b4bf3828-d10a-453b-829d-3053dbe72d8b","http://vocab.nerc.ac.uk/collection/S27/current/CS002905/"
"16887-00-6",508,"Cl","chloride","ChemischeStof","2011-06-08","2100-01-01","Geldig","Id-9dc64994-31a0-4e9d-bf91-e4ea4a323e3b","Id-b4bf3828-d10a-453b-829d-3053dbe72d8b","http://vocab.nerc.ac.uk/collection/S27/current/CS003123/"
"1689-83-4",889,"iOxnl","ioxynil","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e29e68f1-ac5a-4401-8ea5-399ff3ade398","http://vocab.nerc.ac.uk/collection/S27/current/CS004077/"
"1689-84-5",394,"BrOxnl","broomoxynil","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-1e2843de-bfa3-4d88-b3e6-f3c127c46bdf","http://vocab.nerc.ac.uk/collection/S27/current/CS004071/"
"1698-60-8",507,"Clidzn","chloridazon","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-db1046c4-3616-4f2c-8c7c-c9ee708af1f9","http://vocab.nerc.ac.uk/collection/S27/current/CS001208/"
"16984-48-8",1853,"F","fluoride","ChemischeStof","2011-06-08","2011-06-08","Vervallen","","Id-6a56228f-aa7c-4ce6-9327-953683ab2aad","http://vocab.nerc.ac.uk/collection/S27/current/CS003120/"
"16984-48-8",1853,"F","fluoride","ChemischeStof","2011-06-08","2011-06-08","Vervallen","","Id-6a56228f-aa7c-4ce6-9327-953683ab2aad","http://vocab.nerc.ac.uk/collection/S27/current/CS003126/"
"16984-48-8",1853,"F","fluoride","ChemischeStof","2011-06-09","2100-01-01","Geldig","Id-c0968eb8-3933-459e-862f-b9837154a38b","Id-ffc03865-3e82-41bd-aff9-93252b4ca1da","http://vocab.nerc.ac.uk/collection/S27/current/CS003120/"
"16984-48-8",1853,"F","fluoride","ChemischeStof","2011-06-09","2100-01-01","Geldig","Id-c0968eb8-3933-459e-862f-b9837154a38b","Id-ffc03865-3e82-41bd-aff9-93252b4ca1da","http://vocab.nerc.ac.uk/collection/S27/current/CS003126/"
"1702-17-6",526,"cloprld","clopyralid","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3473097a-4576-4f23-8ea9-759407431209","http://vocab.nerc.ac.uk/collection/S27/current/CS003862/"
"171118-09-5",5815,"metlClC2asfz","metolachlor ethaansulfonzuur","ChemischeStof","2017-05-16","2100-01-01","Geldig","","Id-0eecab15-ffda-4f6d-a1a1-543cf550539a","http://vocab.nerc.ac.uk/collection/S27/current/CS004318/"
"1715-40-8",3276,"Brccn","bromocyclen","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-508e87e0-f089-40d0-8e74-ee684c4fdcff","http://vocab.nerc.ac.uk/collection/S27/current/CS004443/"
"1715-40-8",3276,"Brccn","bromocyclen","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-5be1f92d-2d36-49ad-b299-16ec5816a397","http://vocab.nerc.ac.uk/collection/S27/current/CS004443/"
"17254-80-7",3331,"C1ydesFyClid","methyl-desfenylchloridazon","ChemischeStof","2012-04-07","2100-01-01","Geldig","","Id-8bcec411-fc2f-4116-89c5-f858ac10bbbb","http://vocab.nerc.ac.uk/collection/S27/current/CS004400/"
"172960-62-2",5960,"metzClC2asfz","metazachloor-ethaansulfonzuur","ChemischeStof","2018-08-04","2100-01-01","Geldig","","Id-6b330a0e-7b79-4eea-be8c-8c333782e063","http://vocab.nerc.ac.uk/collection/S27/current/CS004401/"
"173159-57-4",3836,"forasfrn","foramsulfuron","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-934e64cd-25ab-47ee-8f3a-8a8f78804159","http://vocab.nerc.ac.uk/collection/S27/current/CS004251/"
"1746-01-6",90,"PCDD48","2,3,7,8-tetrachloordibenzo-p-dioxine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-1a5c67fd-0c99-4eab-bdd5-faab59bbbf34","http://vocab.nerc.ac.uk/collection/S27/current/CS003691/"
"1746-81-2",1253,"Mlnrn","monolinuron","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-c062f066-acd5-4512-b698-07e0b2fda3ae","http://vocab.nerc.ac.uk/collection/S27/current/CS000739/"
"175013-18-0",4524,"pyrcsbn","pyraclostrobin","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-fb1513e3-466d-4d19-9c38-df50b4c0dfa1","http://vocab.nerc.ac.uk/collection/S27/current/CS004185/"
"1763-23-1",4445,"PFOS","perfluoroctaansulfonzuur (lineair)","ChemischeStof","2021-07-06","2100-01-01","Geldig","","Id-52bbf390-10f0-42d8-8a42-274b5061ed7a","http://vocab.nerc.ac.uk/collection/S27/current/CS003715/"
"1763-23-1",4445,"PFOS","perfluoroctaansulfonzuur","ChemischeStof","2020-07-08","2021-07-05","Vervallen","","Id-4ba3e600-46a3-4614-bd89-e56749d429c5","http://vocab.nerc.ac.uk/collection/S27/current/CS003715/"
"1763-23-1",4445,"PFOS","perfluoroctaansulfonaat","ChemischeStof","2011-06-08","2020-07-07","Vervallen","","Id-ba9feb6e-461a-436f-b0dd-6d6c033bfb14","http://vocab.nerc.ac.uk/collection/S27/current/CS003715/"
"1783-84-2",6089,"c81114C20aTz","cis-8,11,14-eicosatrieenzuur","ChemischeStof","2020-02-04","2100-01-01","Geldig","","Id-87395402-96dc-4031-994f-0374239bc4e1","http://vocab.nerc.ac.uk/collection/S27/current/CS002913/"
"1806-26-4",3073,"4C8yFol","4-n-octylfenol","ChemischeStof","2012-05-12","2014-05-09","Vervallen","","Id-9dd119e7-7cd6-4376-b846-51c2b2e9d772","http://vocab.nerc.ac.uk/collection/S27/current/CS003619/"
"1806-26-4",3073,"4C8yFol","4-n-octylfenol","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-02f1d716-9e44-4c71-bf97-a0ec6999a573","http://vocab.nerc.ac.uk/collection/S27/current/CS003619/"
"18181-80-1",400,"Brpplt","broompropylaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-74078016-a5f2-4932-87e0-1f74b423b7a3","http://vocab.nerc.ac.uk/collection/S27/current/CS004105/"
"182346-21-0",2320,"PBDE85","2,2',3,4,4'-pentabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-595e2355-b518-4128-9085-703f29bad2e8","http://vocab.nerc.ac.uk/collection/S27/current/CS002139/"
"1825-19-0",4421,"PCTA","pentachloorthioanisole","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-63227499-f464-4544-89bd-29d05240a2a7","http://vocab.nerc.ac.uk/collection/S27/current/CS002713/"
"1825-21-4",4425,"PeClansl","pentachlooranisol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-580b9154-ab5a-49a9-b36e-a2516a69c1ea","http://vocab.nerc.ac.uk/collection/S27/current/CS004382/"
"182677-30-1",2321,"PBDE138","2,2',3,4,4',5'-hexabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-be231d4d-4370-42c6-a7be-7aa703a0b1c9","http://vocab.nerc.ac.uk/collection/S27/current/CS002132/"
"1836-75-5",4272,"NO2fn","nitrofen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-91d8943d-4024-417a-a2fc-616bfbaa8776","http://vocab.nerc.ac.uk/collection/S27/current/CS004402/"
"18496-25-8",1511,"S","sulfide","ChemischeStof","2011-06-08","2100-01-01","Geldig","Id-03bf780a-bccd-41be-ad24-3a2d7051c7f3","Id-4b4098c4-f3d5-42cf-8a15-b8cf04383076","http://vocab.nerc.ac.uk/collection/S27/current/CS003378/"
"18540-29-9",516,"CrVI","chroom (zeswaardig)","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b46c8a51-4694-494e-b327-96ff6b98b88e","http://vocab.nerc.ac.uk/collection/S27/current/CS003353/"
"1861-32-1",3483,"cltDC1y","chloorthal-dimethyl","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a55eb1b4-3708-4ef5-8990-48e48945b4ae","http://vocab.nerc.ac.uk/collection/S27/current/CS004138/"
"1861-40-1",3213,"benfn","benefin","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e6558129-5e14-4444-8775-133f77540562","http://vocab.nerc.ac.uk/collection/S27/current/CS004165/"
"18691-97-9",1148,"metbtazrn","methabenzthiazuron","ChemischeStof","2011-06-08","2011-08-26","Vervallen","","Id-c7e32639-21be-4969-b61d-8369322b8954","http://vocab.nerc.ac.uk/collection/S27/current/CS000704/"
"18691-97-9",1148,"metbtazrn","metabenzthiazuron","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-2481aed6-8867-417e-af58-5d1a8e252342","http://vocab.nerc.ac.uk/collection/S27/current/CS000704/"
"187022-11-3",6717,"actClC2asfz","acetochloorethaansulfonzuur","ChemischeStof","2021-03-24","2100-01-01","Geldig","","Id-9648508c-38c4-4a79-8ae9-4acf6aa09cdf","http://vocab.nerc.ac.uk/collection/S27/current/CS004147/"
"188425-85-6",3272,"boscld","boscalid","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-60739184-cf7c-498c-991c-7422e5d5febe","http://vocab.nerc.ac.uk/collection/S27/current/CS003895/"
"189-55-9",5180,"DBalP","dibenzo(a,l)pyreen","ChemischeStof","2015-01-31","2100-01-01","Geldig","","Id-c6e7f6d0-9c08-4a6c-a8bc-a935e4a00f0b","http://vocab.nerc.ac.uk/collection/S27/current/CS002104/"
"189-64-0",5187,"DBahP","dibenzo(a,h)pyreen","ChemischeStof","2015-01-31","2100-01-01","Geldig","","Id-70c3dbcf-6828-4500-a19b-f54330fff10c","http://vocab.nerc.ac.uk/collection/S27/current/CS002097/"
"189084-61-5",4366,"PBDE66","2,3',4,4'-tetrabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-de68d1e9-71c6-43e5-a540-50be2ea02f7a","http://vocab.nerc.ac.uk/collection/S27/current/CS004451/"
"189084-62-6",4367,"PBDE71","2,3',4',6-tetrabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-bf71ef14-9f99-4b6c-b45d-30f2c808a399","http://vocab.nerc.ac.uk/collection/S27/current/CS002160/"
"189084-63-7",4368,"PBDE75","2,4,4',6-tetrabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-41f48641-ad8c-4b3d-9572-be819ea60226","http://vocab.nerc.ac.uk/collection/S27/current/CS002202/"
"189084-64-8",2323,"PBDE100","2,2',4,4',6-pentabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-f38b95c8-594a-497d-9fe8-df848c31289b","http://vocab.nerc.ac.uk/collection/S27/current/CS002146/"
"189084-68-2",4364,"PBDE190","2,3,3',4,4',5,6-heptabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-c8e8a7b3-9441-4279-ba3a-919de6f05835","http://vocab.nerc.ac.uk/collection/S27/current/CS002181/"
"1897-45-6",497,"Cltlnl","chloorthalonil","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-cd23b335-3512-47fb-9f78-dffbbaef824b","http://vocab.nerc.ac.uk/collection/S27/current/CS004090/"
"19044-88-3",4321,"orzln","oryzalin","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-de3508a8-19d0-4d1f-8dc4-319e1f5e1982","http://vocab.nerc.ac.uk/collection/S27/current/CS004227/"
"191-24-2",351,"BghiPe","benzo(ghi)peryleen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-18315a91-fa46-4ef9-af3e-030b66ff38bd","http://vocab.nerc.ac.uk/collection/S27/current/CS001936/"
"191-30-0",3557,"DBaiP","dibenzo(a,i)pyreen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-985d7768-3c40-4e53-97cf-06f7db726d18","http://vocab.nerc.ac.uk/collection/S27/current/CS002111/"
"1912-24-9",325,"atzne","atrazine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-079f38da-64ca-4ce9-8943-319f22386b45","http://vocab.nerc.ac.uk/collection/S27/current/CS001579/"
"1918-00-9",602,"Dcba","dicamba","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-55a45f0f-8436-46a7-8cd8-3997d59e4daf","http://vocab.nerc.ac.uk/collection/S27/current/CS003891/"
"1918-16-7",1422,"propCl","propachloor","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-7eee4fda-4a80-498d-b282-c0ff8827edc3","http://vocab.nerc.ac.uk/collection/S27/current/CS004246/"
"192-65-4",5188,"DBaeP","dibenzo(a,e)pyreen","ChemischeStof","2015-01-31","2100-01-01","Geldig","","Id-b3ef1dda-b1fc-406a-a194-9de5c5ed8b73","http://vocab.nerc.ac.uk/collection/S27/current/CS002090/"
"192-97-2",350,"BeP","benzo(e)pyreen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-aaa4cad0-ef79-4654-b1e8-89be2854258e","http://vocab.nerc.ac.uk/collection/S27/current/CS001929/"
"1921-70-6",2932,"261014T4C1yC","2,6,10,14-tetramethylpentadecaan","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-7981694e-d82f-464e-b8c4-af018b111adb","http://vocab.nerc.ac.uk/collection/S27/current/CS003231/"
"1921-70-6",2932,"261014T4C1yC","2,6,10,14-tetramethylpentadecaan","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-912a4dc5-e713-4e3c-b1b1-30f2ff5669e4","http://vocab.nerc.ac.uk/collection/S27/current/CS003231/"
"1928-43-4",2903,"24D2C2yC6yEs","2,4-D 2-ethylhexylester","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-48870e75-9d13-4895-8cb7-1303108fe702","http://vocab.nerc.ac.uk/collection/S27/current/CS003864/"
"1928-43-4",2903,"24D2C2yC6yEs","2,4-D 2-ethylhexylester","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-df0170a4-19e8-4189-9d92-0c3e70e0dde9","http://vocab.nerc.ac.uk/collection/S27/current/CS003864/"
"193-39-5",882,"InP","indeno(1,2,3-cd)pyreen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e6b64138-8514-4d41-bfc1-6a87bb616882","http://vocab.nerc.ac.uk/collection/S27/current/CS002118/"
"19408-74-3",22,"PCDD70","1,2,3,7,8,9-hexachloordibenzo-p-dioxine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-82b70d3d-2a29-4a26-a6eb-818ef2d32beb","http://vocab.nerc.ac.uk/collection/S27/current/CS003686/"
"195-19-7",6617,"BcFen","benzo(c)fenantreen","ChemischeStof","2021-03-19","2100-01-01","Geldig","","Id-309d644b-1d76-49bd-9da6-220843f1ee63","http://vocab.nerc.ac.uk/collection/S27/current/CS001922/"
"1951-25-3",3166,"amodne","amiodarone","ChemischeStof","2012-11-03","2100-01-01","Geldig","","Id-7f200ebe-cca5-4188-b1b0-20c1c799030c","http://vocab.nerc.ac.uk/collection/S27/current/CS003985/"
"19666-30-9",4296,"OaDazn","oxadiazon","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-8cb60c55-636b-42a5-8408-79e03ca8b137","http://vocab.nerc.ac.uk/collection/S27/current/CS004100/"
"198-55-0",4423,"Pe","peryleen","ChemischeStof","2014-12-03","2100-01-01","Geldig","","Id-8073043f-e274-48ca-b984-4dea11568a6d","http://vocab.nerc.ac.uk/collection/S27/current/CS002594/"
"198-55-0",5126,"Pe","peryleen","ChemischeStof","2011-06-08","2014-10-31","Vervallen","","Id-710be831-1ca4-4b3d-b2a6-158fb054cd0c","http://vocab.nerc.ac.uk/collection/S27/current/CS002594/"
"198-55-0",999772,"Pe","peryleen","ChemischeStof","2014-11-01","2014-12-02","Vervallen","","Id-22aa89e2-eadd-41f5-acf2-b93acfce220a","http://vocab.nerc.ac.uk/collection/S27/current/CS002594/"
"1982-47-4",1718,"Clxrn","chlooroxuron","ChemischeStof","2011-06-08","2011-08-27","Vervallen","","Id-385fa79b-0383-44d8-9113-d1e185bbee23","http://vocab.nerc.ac.uk/collection/S27/current/CS003901/"
"1982-47-4",1718,"Cloxrn","chlooroxuron","ChemischeStof","2012-07-21","2100-01-01","Geldig","","Id-a40264d2-a08b-488d-92d0-4ed002a66745","http://vocab.nerc.ac.uk/collection/S27/current/CS003901/"
"19937-59-8",1187,"metxrn","metoxuron","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-fd2cc0ed-639e-4412-b579-022fc92c518e","http://vocab.nerc.ac.uk/collection/S27/current/CS003816/"
"2008-58-4",135,"26DClBenAd","2,6-dichloorbenzamide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d70c1dcc-8e89-40f3-b820-87cbd057b14b","http://vocab.nerc.ac.uk/collection/S27/current/CS004403/"
"203-12-3",6621,"BghiF","benzo(ghi)fluorantheen","ChemischeStof","2021-03-19","2100-01-01","Geldig","","Id-507e11be-4a99-4e73-afa7-3edcefa5acf1","http://vocab.nerc.ac.uk/collection/S27/current/CS003699/"
"2032-65-7",2307,"metocb","methiocarb","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-892222b7-3a41-49ef-9b96-70c5dc75ac9b","http://vocab.nerc.ac.uk/collection/S27/current/CS003830/"
"20427-84-3",4952,"224C9yfOxC2o","2-(2-(4-nonylfenoxy)ethoxy)ethanol","ChemischeStof","2013-08-07","2014-01-20","Vervallen","","Id-39e64402-1b07-4a38-801d-1f18f59e4003","http://vocab.nerc.ac.uk/collection/S27/current/CS004331/"
"20427-84-3",4952,"224C9yfOxC2o","2-(2-(4-nonylfenoxy)ethoxy)ethanol","ChemischeStof","2014-01-21","2100-01-01","Geldig","","Id-be89bfdd-2b60-4456-ae25-383d1ff34ef8","http://vocab.nerc.ac.uk/collection/S27/current/CS004331/"
"20461-54-5",916,"I","jodide","ChemischeStof","2011-09-01","2100-01-01","Geldig","Id-bf1fe236-c90e-4a26-b886-d986f73ebb16","Id-52f86a74-0db3-479b-9029-7700d2875464","http://vocab.nerc.ac.uk/collection/S27/current/CS002922/"
"205-82-3",352,"BjF","benzo(j)fluorantheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-cfbafe55-b9d4-4b36-bc55-cb0e869b710d","http://vocab.nerc.ac.uk/collection/S27/current/CS001943/"
"205-99-2",348,"BbF","benzo(b)fluorantheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-46c638af-395d-461a-b36d-5e67db861745","http://vocab.nerc.ac.uk/collection/S27/current/CS001915/"
"2051-24-3",1811,"PCB209","2,2',3,3',4,4',5,5',6,6'-decachloorbifenyl","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-178b7326-18ae-40ef-80fe-889e490779f5","http://vocab.nerc.ac.uk/collection/S27/current/CS003718/"
"2051-60-7",5615,"PCB1","2-chloorbifenyl","ChemischeStof","2016-08-09","2100-01-01","Geldig","","Id-cb8cf99c-d4e9-47f8-824e-e425d0ea8448","http://vocab.nerc.ac.uk/collection/S27/current/CS003908/"
"2051-61-8",5616,"PCB2","3-chloorbifenyl","ChemischeStof","2016-08-09","2100-01-01","Geldig","","Id-e713250b-9e56-437d-88e6-376899ef0464","http://vocab.nerc.ac.uk/collection/S27/current/CS003933/"
"2051-62-9",5617,"PCB3","4-chloorbifenyl","ChemischeStof","2016-08-09","2100-01-01","Geldig","","Id-fc681dfc-f57e-4373-b6d8-713c2dd7af53","http://vocab.nerc.ac.uk/collection/S27/current/CS003926/"
"205650-65-3",5880,"fipndsfnl","fipronil-desulfinyl","ChemischeStof","2019-11-29","2100-01-01","Geldig","","Id-34e5aa39-7cd7-44cf-9ab7-fa3a3cbd0237","http://vocab.nerc.ac.uk/collection/S27/current/CS004022/"
"205650-65-3",5879,"fipnsfn","fipronil-sulfon","ChemischeStof","2017-12-21","2019-11-28","Vervallen","","Id-c63a2eb9-196d-4306-89e4-a6d53e739b2f","http://vocab.nerc.ac.uk/collection/S27/current/CS004022/"
"2058-94-8",4451,"PFUdA","perfluorundecaanzuur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3c7761a5-29a8-41e2-bb41-f6b1b64a7fa6","http://vocab.nerc.ac.uk/collection/S27/current/CS003843/"
"206-44-0",775,"Flu","fluorantheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-4439ef9f-fd48-4553-9823-de9ba71cb807","http://vocab.nerc.ac.uk/collection/S27/current/CS002069/"
"207-08-9",353,"BkF","benzo(k)fluorantheen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a12cb3d4-af1a-4cf1-9126-cb2d28c6986e","http://vocab.nerc.ac.uk/collection/S27/current/CS001950/"
"207122-15-4",2322,"PBDE154","2,2',4,4',5,6'-hexabroomdifenylether","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-48096367-7957-4caa-8c1d-f650f955ae8c","http://vocab.nerc.ac.uk/collection/S27/current/CS001005/"
"207122-16-5",2523,"PBDE183","2,2',3,4,4',5',6-heptabroomdifenylether","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-6cfa8466-c944-4ce9-bff9-85c6a6e1e37e","http://vocab.nerc.ac.uk/collection/S27/current/CS000991/"
"207122-16-5",2523,"PBDE183","2,2¿,3,4,4¿,5¿,6-heptabroomdifenylether","ChemischeStof","2011-06-08","2011-08-26","Vervallen","","Id-73a2a280-a38a-45e1-a048-e6c5d161aa56","http://vocab.nerc.ac.uk/collection/S27/current/CS000991/"
"208-96-8",248,"AcNy","acenaftyleen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-55bc71ed-1948-4703-944f-1bdbd3069387","http://vocab.nerc.ac.uk/collection/S27/current/CS002006/"
"2104-96-3",393,"C1yBrfs","methylbromofos","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-5ee6f20d-85b6-4908-97ca-ff4dc02838bc","http://vocab.nerc.ac.uk/collection/S27/current/CS004238/"
"21087-64-9",1188,"metbzn","metribuzin","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e61439da-1d55-4a92-9ac2-5f6372df684f","http://vocab.nerc.ac.uk/collection/S27/current/CS003852/"
"210880-92-5",3472,"clotandne","clothianidine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-1229db24-3b28-4717-8172-1388230ca931","http://vocab.nerc.ac.uk/collection/S27/current/CS003892/"
"21145-77-7",3185,"ATHN","acetylhexamethyltetrahydronaftaleen","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-e01eb8b1-f66b-42fe-8331-011374480d2c","http://vocab.nerc.ac.uk/collection/S27/current/CS004348/"
"21145-77-7",3185,"ATHN","acetylhexamethyltetrahydronaftaleen","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-d37e7972-62fe-4bf7-9883-cce2b5dbee85","http://vocab.nerc.ac.uk/collection/S27/current/CS004348/"
"21312-10-7",3136,"actsfmtozl","acetylsulfamethoxazol","ChemischeStof","2012-11-03","2100-01-01","Geldig","","Id-cd572f74-60c6-4363-8784-d5b1c7f9c318","http://vocab.nerc.ac.uk/collection/S27/current/CS004404/"
